"Supplied Name","guid","scientificName","family","kingdom","vernacular name","Denature level","generalisation","Criteria"
"Pezoporus occidentalis","urn:lsid:biodiversity.org.au:afd.taxon:ea536e50-03cc-44d1-9f99-b11fd0c3a345","Pezoporus occidentalis","Psittacidae",,"Night Parrot","Round coordinate value to 0.5 decimal degrees (approximately 50 km2)","100km",
"Macroderma gigas","urn:lsid:biodiversity.org.au:afd.taxon:63bc796a-5a85-45bc-b4bc-edecc931cc50","Macroderma gigas","Megadermatidae",,"Ghost Bat","Round coordinate value to 0.05 decimal degrees (approximately 5 km2)","10km","cave roost related records"
"Bellatorias obiri","urn:lsid:biodiversity.org.au:afd.taxon:2afc8501-f330-4973-84d9-94dc817d793c","Bellatorias obiri","Scincidae",,"Arnhemland Egernia","Round coordinate value to 0.1 decimal degrees (approximately 10 km2)","10km",
"Attacus wardi","urn:lsid:biodiversity.org.au:afd.taxon:8a05008e-53e8-4773-855a-43ac29cc6056","Attacus wardi","Saturniidae",,"Atlas Moth","Round coordinate value to 0.1 decimal degrees (approximately 10 km2)","10km",
"Ogyris iphis doddi","urn:lsid:biodiversity.org.au:afd.taxon:07abedad-7baf-47a5-9393-087ec3b6caf5","Ogyris iphis doddi","Lycaenidae",,"Dodd’s Azure","Round coordinate value to 0.1 decimal degrees (approximately 10 km2)","10km",
"Hipposideros inornata","urn:lsid:biodiversity.org.au:afd.taxon:5d2dab40-ff9d-46d9-b31e-970b79bbc73b","Hipposideros inornatus","Hipposideridae",,"Arnhem Leaf-nosed Bat","Round coordinate value to 0.05 decimal degrees (approximately 5 km2)","10km","cave roost related records"
"Polytelis alexandrae","urn:lsid:biodiversity.org.au:afd.taxon:1ad0bddc-f761-45fb-ba4b-3a69d3e4bce9","Polytelis alexandrae","Psittacidae",,"Princess Parrot","Round coordinate value to 0.1 decimal degrees (approximately 10 km2)","10km","nesting records"
"Candalides geminus","urn:lsid:biodiversity.org.au:afd.taxon:6f06e105-6222-4a99-971e-56b4082759cc","Candalides geminus","Lycaenidae",,"Twin Dusky-blue","Round coordinate value to 0.1 decimal degrees (approximately 10 km2)","10km","eastern sub-population"
"Hipposideros stenotis","urn:lsid:biodiversity.org.au:afd.taxon:26fe0f53-6d66-4607-8fc6-55b99302992e","Hipposideros stenotis","Hipposideridae",,"Northern Leaf-nosed bat","Round coordinate value to 0.05 decimal degrees (approximately 5 km2)","10km","cave roost related records"
"Falco hypoleucos","urn:lsid:biodiversity.org.au:afd.taxon:5c4c5947-83a6-4a42-b861-8c408cfed4e7","Falco (Hierofalco) hypoleucos","Falconidae",,"Grey Falcon","Round coordinate value to 0.1 decimal degrees (approximately 10 km2)","10km","nesting records"
