"Supplied Name","guid","scientificName","family","kingdom","family2","genus","order","taxonRank","class"
"Cynoglossum nobile Hook.f.","NZOR-6-33561","Myosotidium hortensia","Boraginaceae",,"Boraginaceae","Myosotidium",,"species","Magnoliopsida"
"Luzula celata Edgar","https://id.biodiversity.org.au/name/apni/150976","Luzula celata","Juncaceae",,"Juncaceae","Luzula","Poales","species","Magnoliopsida"
"Todea africana Willd. ex Bernh.","https://id.biodiversity.org.au/node/apni/2916843","Todea barbara","Osmundaceae",,"Osmundaceae","Todea","Osmundales","species","Polypodiopsida"
"Senecio kirkii Hook.f. ex Kirk var. kirkii","NZOR-6-96174","Brachyglottis kirkii (Hook.f. ex Kirk) C.J.Webb var. kirkii","Asteraceae",,"Compositae","Brachyglottis","Asterales","variety","Magnoliopsida"
"Aira antarctica G.Forst.","https://id.biodiversity.org.au/node/apni/2918558","Trisetum spicatum subsp. australiense","Poaceae",,"Gramineae","Trisetum","Poales","species","Magnoliopsida"
"Hibiscus richardsonii Sweet ex Lindl.","https://id.biodiversity.org.au/node/apni/2888546","Hibiscus richardsonii","Malvaceae",,"Malvaceae","Hibiscus","Malvales","species","Magnoliopsida"
"Gymnogramma leptophylla (L.) Desv.","https://id.biodiversity.org.au/taxon/apni/51299828","Anogramma leptophylla","Pteridaceae",,"Pteridaceae","Anogramma","Polypodiales","species","Polypodiopsida"
"Carmichaelia torulosa (Kirk) Heenan","NZOR-6-58455","Carmichaelia torulosa","Fabaceae",,"Leguminosae","Carmichaelia","Fabales","species","Magnoliopsida"
"Myosurus minimus subsp. novae-zelandiae (W.R.B.Oliv.) Garn.-Jones","NZOR-6-40329","Myosurus minimus subsp. novae-zelandiae","Ranunculaceae",,"Ranunculaceae","Myosurus","Ranunculales","subspecies","Magnoliopsida"
"Devauxia strigosa R.Br.","https://id.biodiversity.org.au/taxon/apni/51270485","Centrolepis strigosa","Centrolepidaceae",,"Centrolepidaceae","Centrolepis","Poales","species","Magnoliopsida"
"Pimelea mimosa C.J.Burrows","NZOR-6-69426","Pimelea mimosa","Thymelaeaceae",,"Thymelaeaceae","Pimelea","Malvales","species","Magnoliopsida"
"Scutellaria novae-zelandiae Hook.f.","NZOR-6-53816","Scutellaria novae-zelandiae","Lamiaceae",,"Labiatae","Scutellaria","Lamiales","species","Magnoliopsida"
"Colensoa physaloides (A.Cunn.) Hook.f.","NZOR-6-41911","Lobelia physaloides","Campanulaceae",,"Campanulaceae","Colensoa","Asterales","species","Magnoliopsida"
"Angelica rosaefolia Hook.","NZOR-6-10427","Scandia rosifolia","Umbelliferae",,"Umbelliferae","Scandia","Apiales","species","Magnoliopsida"
"Lepidium tenuicaule var. minor Cheeseman","NZOR-6-65925","Lepidium tenuicaule","Brassicaceae",,"Cruciferae","Lepidium","Brassicales","variety","Magnoliopsida"
"Uncinia strictissima (Kük.) Petrie","NZOR-6-80190","Carex strictissima","Cyperaceae",,"Cyperaceae","Uncinia","Poales","species","Magnoliopsida"
"Osmunda leptophylla (L.) Savigny in Lam.","https://id.biodiversity.org.au/taxon/apni/51299828","Anogramma leptophylla","Pteridaceae",,"Pteridaceae","Anogramma","Polypodiales","species","Polypodiopsida"
"Ourisia modesta Diels","NZOR-6-115105","Ourisia modesta","Plantaginaceae",,"Plantaginaceae","Ourisia","Lamiales","species","Magnoliopsida"
"Ranunculus recens Kirk var. recens","NZOR-6-68361","Ranunculus recens","Ranunculaceae",,"Ranunculaceae","Ranunculus","Ranunculales","variety","Magnoliopsida"
"Leucogenes tarahaoa Molloy","NZOR-6-11079","Leucogenes tarahaoa","Asteraceae",,"Compositae","Leucogenes","Asterales","species","Magnoliopsida"
"Coxella dieffenbachii (F.Muell.) Cheeseman & Hemsl.","NZOR-6-104538","Aciphylla dieffenbachii","Apiaceae",,"Umbelliferae","Aciphylla","Apiales","species","Magnoliopsida"
"Dichelachne procera Steud.","NZOR-6-34044","Anemanthele lessoniana","Poaceae",,"Gramineae","Anemanthele","Poales","species","Magnoliopsida"
"Gnaphalium collinum var. obscurum Kirk","https://id.biodiversity.org.au/name/apni/237222","Euchiton ensifer","Asteraceae",,"Compositae","Euchiton","Asterales","variety","Magnoliopsida"
"Senecio kermadecensis Belcher","NZOR-6-114269","Senecio kermadecensis","Asteraceae",,"Compositae","Senecio","Asterales","species","Magnoliopsida"
"Lepidium panniforme de Lange & Heenan","NZOR-6-108635","Lepidium panniforme","Brassicaceae",,"Cruciferae","Lepidium","Brassicales","species","Magnoliopsida"
