"Supplied Name","guid","scientificName","family","kingdom","Taxon Id","Kingdom2","Class","Family2","scientificNameAuthorship","vernacular name"
"Dendrobium schneiderae var. schneiderae","https://id.biodiversity.org.au/name/apni/86357","Dendrobium schneiderae var. schneiderae","Orchidaceae",,"12839","plants","Equisetopsida","Orchidaceae","F.M.Bailey",
"Oberonia","https://id.biodiversity.org.au/node/apni/2910656","Oberonia","Orchidaceae",,"21157","plants","Equisetopsida","Orchidaceae",,
"Pterostylis russellii","https://id.biodiversity.org.au/name/apni/75675","Pterostylis russellii","Orchidaceae",,"9834","plants","Equisetopsida","Orchidaceae","T.E.Hunt",
"Pterostylis rufa","https://id.biodiversity.org.au/name/apni/75574","Pterostylis rufa","Orchidaceae",,"16349","plants","Equisetopsida","Orchidaceae","R.Br.",
"Schoenorchis sarcophylla","https://id.biodiversity.org.au/name/apni/108518","Schoenorchis sarcophylla","Orchidaceae",,"12663","plants","Equisetopsida","Orchidaceae","Schltr.",
"Bulbophyllum","https://id.biodiversity.org.au/node/apni/2916062","Bulbophyllum","Orchidaceae",,"13491","plants","Equisetopsida","Orchidaceae",,
"Macrozamia fearnsidei","https://id.biodiversity.org.au/node/apni/2886756","Macrozamia fearnsidei","Zamiaceae",,"8851","plants","Equisetopsida","Zamiaceae","D.L.Jones",
"Prasophyllum campestre","https://id.biodiversity.org.au/name/apni/117499","Prasophyllum campestre","Orchidaceae",,"7908","plants","Equisetopsida","Orchidaceae","R.J.Bates & D.L.Jones",
"Cycas media","https://id.biodiversity.org.au/node/apni/2889358","Cycas media","Cycadaceae",,"17503","plants","Equisetopsida","Cycadaceae","R.Br.",
"Wollumbinia belli","urn:lsid:biodiversity.org.au:afd.taxon:1a85a82f-5a1f-4c56-9f04-918643461260","Wollumbinia belli","Chelidae",,"22659","animals","reptiles","Chelidae","(Gray, 1844)","Bell's turtle"
"Eulophia bicallosa","https://id.biodiversity.org.au/name/apni/100814","Eulophia bicallosa","Orchidaceae",,"8203","plants","Equisetopsida","Orchidaceae","(D.Don) P.Hunt & Summerh.",
"Cycas megacarpa","https://id.biodiversity.org.au/node/apni/2913264","Cycas megacarpa","Cycadaceae",,"8445","plants","Equisetopsida","Cycadaceae","K.D.Hill",
"Corybas undulatus","https://id.biodiversity.org.au/name/apni/81745","Corybas undulatus","Orchidaceae",,"13327","plants","Equisetopsida","Orchidaceae","(R.Cunn.) Rupp","tailed helmet orchid"
"Rhomboda polygonoides","https://id.biodiversity.org.au/name/apni/178913","Rhomboda polygonoides","Orchidaceae",,"35496","plants","Equisetopsida","Orchidaceae","(F.Muell.) Ormerod",
"Robiquetia wassellii","https://id.biodiversity.org.au/name/apni/59835","Robiquetia wassellii","Orchidaceae",,"12706","plants","Equisetopsida","Orchidaceae","Dockrill",
"Caladenia chamaephylla","https://id.biodiversity.org.au/name/apni/147267","Caladenia chamaephylla","Orchidaceae",,"2326","plants","Equisetopsida","Orchidaceae","D.L.Jones",
"Bulbophyllum nematopodum","https://id.biodiversity.org.au/name/apni/69660","Bulbophyllum nematopodum","Orchidaceae",,"13489","plants","Equisetopsida","Orchidaceae","F.Muell.",
"Aphyllorchis","https://id.biodiversity.org.au/node/apni/2918669","Aphyllorchis","Orchidaceae",,"20190","plants","Equisetopsida","Orchidaceae",,
"Bulbophyllum lageniforme","https://id.biodiversity.org.au/name/apni/69570","Bulbophyllum lageniforme","Orchidaceae",,"13486","plants","Equisetopsida","Orchidaceae","F.M.Bailey",
"Corunastylis cuspidata","https://id.biodiversity.org.au/name/apni/9737322","Corunastylis cuspidata","Orchidaceae",,"36430","plants","Equisetopsida","Orchidaceae","D.L.Jones & L.M.Copel.",
"Macrozamia pauli-guilielmi","https://id.biodiversity.org.au/node/apni/2918773","Macrozamia pauli-guilielmi","Zamiaceae",,"16708","plants","Equisetopsida","Zamiaceae","W.Hill & F.Muell.",
"Drosera schizandra","https://id.biodiversity.org.au/node/apni/2915846","Drosera schizandra","Droseraceae",,"9811","plants","Equisetopsida","Droseraceae","Diels","notched sundew"
"Trachoma speciosum","https://id.biodiversity.org.au/name/apni/58406","Trachoma speciosum","Orchidaceae",,"8182","plants","Equisetopsida","Orchidaceae","D.L.Jones, B.Gray, M.A.Clem. & J.J.Wood",
"Cooktownia robertsii","https://id.biodiversity.org.au/name/apni/178907","Cooktownia robertsii","Orchidaceae",,"18783","plants","Equisetopsida","Orchidaceae","D.L.Jones",
"Nepenthes bernaysii","https://id.biodiversity.org.au/node/apni/2918584","Nepenthes mirabilis","Nepenthaceae",,"40148","plants","Equisetopsida","Nepenthaceae",,
"Cophixalus petrophilus","urn:lsid:biodiversity.org.au:afd.taxon:fc5a6301-701d-4e0f-92e6-506423ea38f3","Cophixalus petrophilus","Microhylidae",,"34968","animals","amphibians","Microhylidae","Hoskin, 2013","blotched boulder-frog"
"Wodyetia bifurcata","https://id.biodiversity.org.au/node/apni/2910952","Wodyetia bifurcata","Arecaceae",,"8539","plants","Equisetopsida","Arecaceae","A.K.Irvine","foxtail palm"
