"Supplied Name","guid","scientificName","family","kingdom","Grouping","SPECIESTYPE","NSXCODE","vernacular name","Clarifier","Threaten a species/environment;","Reason","Threaten someones privacy;"
"Polytelis anthopeplus monarchoides","urn:lsid:biodiversity.org.au:afd.taxon:5ba0d9f3-fa07-4577-8ada-a7e3a51b2792","Polytelis anthopeplus monarchoides","Psittacidae",,"Parrots","B","C04381","Regent Parrot (eastern subspecies)","All known nest hollows and artificial nest boxes at known breeding sites.","y","These Parrot species are listed under the EPBC Act and/or SA NP&W Act and are at risk of nest disturbance. Data restrictions are consistent with other current jurisdictional restrictions (see below) and consistent with conservation Objectives of The Action Plan for Australian Birds (2010) and the National Recovery Plan for the Regent Parrot (2012).",
"Pterostylis setifera","https://id.biodiversity.org.au/name/apni/75779","Pterostylis setifera","Orchidaceae",,"Orchids","P","Y04412","Bristly Greenhood","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Adiantum capillus-veneris","https://id.biodiversity.org.au/node/apni/2887223","Adiantum capillus-veneris","Pteridaceae",,"Ferns & Allies","P","A00036","Dainty Maiden-hair","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the SA NPW Act. All species are ferns or fern allies, and are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Olearia arckaringensis","https://id.biodiversity.org.au/node/apni/2901236","Olearia arckaringensis","Asteraceae",,"Garden Trade -Other Ornamental Horticulture plants","P","E05926","Arckaringa Daisy","Specific locations/areas","y","Olearia arckaringensis is an attractive plant that could potentially be targeted for seed or cuttings by illegal collectors for the garden trade. Its distribution is restricted to <10 kms2 and the total population size is limited to a few hundred plants. Currently the species is not listed under the NPW Act because it was only described formally in 2008, following the last NPW Schedule update (in Feb 2008). For similar reasons the species is yet to be nominated under the EPBC Act. No other jurisdictions have data restrictions on this species, because it is endemic to SA.","y"
"Wurmbea dioica ssp. lacunaria","ALA_Wurmbea_dioica_ssp_lacunaria","Wurmbea dioica ssp. lacunaria",,,"Aquatics","P","G05475","Lagoon Nancy","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the SA NPW Act. All species are aquatic or semi-aquatic plants, and are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Cryptostylis subulata","https://id.biodiversity.org.au/name/apni/89052","Cryptostylis subulata","Orchidaceae",,"Orchids","P","Y00796","Moose Orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Pycnosorus globosus","https://id.biodiversity.org.au/node/apni/2915561","Pycnosorus globosus","Asteraceae",,"Garden Trade -Other Ornamental Horticulture plants","P","W03051","Drumsticks","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Pterostylis tasmanica","https://id.biodiversity.org.au/taxon/apni/51316831","Pterostylis tasmanica","Orchidaceae",,"Orchids","P","C05465","Southern Bearded Greenhood","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Euastacus bispinosa","urn:lsid:biodiversity.org.au:afd.taxon:02f97296-26f8-4710-abdd-f9d859659c2d","Euastacus bispinosus","Parastacidae",,,"Crustacean","n/a"," Glenelg Spiny Freshwater Crayfish (SA: South-east Crayfish) (listed as South-east Crayfish under SA FM Act)","All known location records","y","The Glenelg Spiny Freshwater Crayfish is listed as Endangered under the EPBC Act and Protected in SA under the FM Act. The natural distribution of the Glenelg spiny freshwater crayfish is restricted to the Glenelg River system in south-western Victoria and five spring-fed coastal streams in south-eastern South Australia including the Ewen Ponds system. Fishing has been a major historic threat to the Glenelg spiny freshwater crayfish. Life history characteristics of the species, particularly slow growth and significant age before sexual maturity, make it difficult for the species to withstand even a low level of removal by fishermen.",
"Rhodanthe anthemoides","https://id.biodiversity.org.au/node/apni/2897086","Rhodanthe anthemoides","Asteraceae",,"Garden Trade -Other Ornamental Horticulture plants","P","W03167","Chamomile Everlasting","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Swainsona kingii","https://id.biodiversity.org.au/node/apni/2889078","Swainsona kingii","Fabaceae",,"Garden Trade -Other Ornamental Horticulture plants","P","Y15260",,"Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Corybas fordhamii","https://id.biodiversity.org.au/name/apni/81710","Corybas fordhamii","Orchidaceae",,"Orchids","P","E00794",,"Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Caladenia behrii","https://id.biodiversity.org.au/node/apni/2898054","Caladenia behrii","Orchidaceae",,"Orchids","P","Y05140","Pink-lip Spider-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Pterostylis cucullata ssp. sylvicola","ALA_Pterostylis_cucullata_ssp_sylvicola","Pterostylis cucullata ssp. sylvicola",,,"Orchids","P","G30119","Leafy Greenhood","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Polystichum proliferum","https://id.biodiversity.org.au/node/apni/2891946","Polystichum proliferum","Dryopteridaceae",,"Ferns & Allies","P","G00047","Mother Shield-fern","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the SA NPW Act. All species are ferns or fern allies, and are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Nymphoides geminata","https://id.biodiversity.org.au/node/apni/2901603","Nymphoides geminata","Menyanthaceae",,"Aquatics","P","K02477","Entire Marshwort","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the SA NPW Act. All species are aquatic or semi-aquatic plants, and are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Dennstaedtia davallioides","https://id.biodiversity.org.au/node/apni/2891972","Dennstaedtia davallioides","Dennstaedtiaceae",,"Ferns & Allies","P","E04242","Lacy Ground-fern","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the SA NPW Act. All species are ferns or fern allies, and are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Chiloglottis cornuta","https://id.biodiversity.org.au/name/apni/64764","Chiloglottis cornuta","Orchidaceae",,"Orchids","P","K00789","Green Bird-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Calochilus paludosus","https://id.biodiversity.org.au/name/apni/99067","Calochilus paludosus","Orchidaceae",,"Orchids","P","G00787","Red Beard-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Thelymitra cyanea","https://id.biodiversity.org.au/name/apni/115108","Thelymitra cyanea","Orchidaceae",,"Orchids","P","C00873","Veined Sun-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Psilotum nudum","https://id.biodiversity.org.au/node/apni/2902873","Psilotum nudum","Psilotaceae",,"Ferns & Allies","P","U05218","Skeleton Fork-fern","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the SA NPW Act. All species are ferns or fern allies, and are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Pandion cristatus","urn:lsid:biodiversity.org.au:afd.taxon:21464fca-984c-4103-ab72-5f6e9e7d5a2b","Pandion cristatus","Accipitridae",,,"B","K00241","Eastern Osprey (listed as Pandion haliaetus – Osprey under SA NPW Act)","All known nests on natural and artificial structures and breeding territories. Proposed establishment of ‘~1.5 km buffer zones’ around known nest sites to limit disturbance by humans or human activity (Dennis, 2012).","y","Both species are listed as Endangered under the SA NP&W Act and are at risk of egg collection and nest disturbance. Data restrictions are consistent with other current jurisdictional restrictions (e.g. Vic/WA for White-bellied Sea-Eagle and NSW for Osprey).",
"Caladenia clavigera","https://id.biodiversity.org.au/name/apni/90985","Caladenia clavigera","Orchidaceae",,"Orchids","P","A00768","Plain-lip Spider-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Pterostylis despectans","https://id.biodiversity.org.au/node/apni/2901078","Pterostylis despectans","Orchidaceae",,"Orchids","P","U05462","Mt Bryan Greenhood","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Craspedia paludicola","https://id.biodiversity.org.au/node/apni/6978320","Craspedia paludicola","Asteraceae",,"Aquatics","P","A05560","Swamp Buttons","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the SA NPW Act. All species are aquatic or semi-aquatic plants, and are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
