"Supplied Name","guid","scientificName","family","kingdom","vernacular name","Grouping","Synonym  Common  Name","VBA taxon  I D","Synonym  Name","VIC  Advisory  Status","Authority","Taxon Type","Restricted  Flag","Primary  Discipline","FFG  Act  Status","Version  Date","category","NVIS  Growth  Form"
"Pogona barbata","urn:lsid:biodiversity.org.au:afd.taxon:25b7606b-0b61-4f2d-967e-9c5c210fe332","Pogona barbata","Agamidae",,"Bearded Dragon",,"Bearded Dragon","12177","Pogona barbata","Vulnerable",,"Reptiles","restricted","Terrestrial fauna","In Review","2020-09-09","IR",
"Cyclodomorphus praealtus","urn:lsid:biodiversity.org.au:afd.taxon:91f49257-08dd-4515-b26d-6cdeeada1a70","Cyclodomorphus praealtus","Scincidae",,"Alpine She-oak Skink",,"Alpine She-oak Skink","12987","Cyclodomorphus praealtus","Critically endangered",,"Reptiles","restricted","Terrestrial fauna","Listed","2020-09-09","L",
"Aprasia parapulchella","urn:lsid:biodiversity.org.au:afd.taxon:0d74fa05-7039-4f1e-9147-ca3927124532","Aprasia parapulchella","Pygopodidae",,"Pink-tailed Worm-Lizard",,,"12144",,"Endangered",,"Reptiles","restricted","Terrestrial fauna","Listed","2020-09-09","L",
"Colubotelson searli","urn:lsid:biodiversity.org.au:afd.taxon:7af3f4fd-0cfa-4a61-9acf-97a0ef0486d6","Colubotelson searlei","Phreatoicidae",,"freshwater isopod",,"Phreatoicid Isopod","75161","Colubotelson Colubotelson searli","Vulnerable","Nicholls, 1944","Invertebrates","restricted","Aquatic invertebrates","In Review","2020-09-09","IR",
"Euastacus claytoni","urn:lsid:biodiversity.org.au:afd.taxon:a3ca7efe-2765-4b17-8610-0eef0e53c0be","Euastacus claytoni","Parastacidae",,"Claytons Spiny Crayfish",,,"1643",,"Vulnerable","Riek, 1969","Mussels, decopod crustacea","restricted","Aquatic fauna","In Review","2020-09-09","IR",
"Thaumatoperla robusta","urn:lsid:biodiversity.org.au:afd.taxon:96f9db2b-8916-4154-9521-5a9fc26c9db6","Thaumatoperla robusta","Eustheniidae",,"Stonefly",,,"2367",,"Data deficient","Burns & Neboiss, 1957","Invertebrates","restricted","Aquatic invertebrates","In Review","2020-09-09","IR",
"Triaenodes resima","urn:lsid:biodiversity.org.au:afd.taxon:ce927666-7783-4a91-983a-0a3222edcf79","Triaenodes resima","Leptoceridae",,"Caddisfly",,"Caddisfly","75193","Triaenodes Triaenodes resima","Vulnerable","Neboiss & Wells, 1998","Invertebrates","restricted","Aquatic invertebrates","In Review","2020-09-09","IR",
"Diuris basaltica","https://id.biodiversity.org.au/node/apni/2905895","Diuris basaltica","Orchidaceae",,"Small Golden Moths",,"Plains Diuris, Small Golden Moths, Basalt Golden Moths, Little Golden Moths","501473","Diuris basaltica, Diuris sp. aff. chryseopsis (Basalt Plains), Diuris sp. aff. lanceolata (Laverton), Diuris sp. aff. chryseopsis 1, Diuris sp. aff. lanceolata (Basalt Plains)","Endangered","D.L. Jones","Monocotyledons","restricted","Flora","Listed","2020-09-09","L","Forb"
"Prasophyllum frenchii","https://id.biodiversity.org.au/node/apni/2888498","Prasophyllum frenchii","Orchidaceae",,"Maroon Leek-orchid",,"French's Leek-orchid, Maroon Leek Orchid, Slaty Leek-orchid, Swamp Leek-orchid, Maroon Leek-orchid, Stout Leek-orchid","502709","Prasophyllum hartii, Prasophyllum hartii var. parviflorum","Endangered","F. Muell.","Monocotyledons","restricted","Flora","Listed","2020-09-09","L","Forb"
"Pterostylis valida","https://id.biodiversity.org.au/node/apni/2913235","Pterostylis valida","Orchidaceae",,"Robust Greenhood",,"Robust Greenhood","504854","Oligochaetochilus validus, Pterostylis valida, Pterostylis squamata var. valida","Endangered","(Nicholls) D.L. Jones","Monocotyledons","restricted","Flora","Listed","2020-09-09","L","Forb"
"Westriplectes angelae","urn:lsid:biodiversity.org.au:afd.taxon:bc25e855-1085-4966-b222-8f00ccd7824b","Westriplectes angelae","Leptoceridae",,"Caddisfly",,,"3186",,"Vulnerable","Neboiss, 1979","Invertebrates","restricted","Aquatic invertebrates","In Review","2020-09-09","IR",
"Caladenia pumila","https://id.biodiversity.org.au/node/apni/2920691","Caladenia pumila","Orchidaceae",,"Dwarf Spider-orchid",,"Dwarf Spider-orchid, Dwarf Spider Orchid","500544","Caladenia pumila, Arachnorchis pumila, Phlebochilus pumila","Endangered","R.S. Rogers","Monocotyledons","restricted","Flora","Listed","2020-09-09","L","Forb"
"Caladenia cremna","https://id.biodiversity.org.au/node/apni/2907116","Caladenia cremna","Orchidaceae",,"Whitfield Spider-orchid",,"Don's Spider-orchid, Whitfield Spider-orchid","507766","Caladenia cremna, Arachnorchis cremna","Endangered","(D.L. Jones) G.N. Backh.","Monocotyledons","restricted","Flora","Listed","2020-09-09","L",
"Thaumatoperla timmsi","urn:lsid:biodiversity.org.au:afd.taxon:7ffb621a-7016-456e-a1eb-a7327333a316","Thaumatoperla timmsi","Eustheniidae",,"Stonefly",,,"2368",,"Data deficient","Zwick, 1979","Invertebrates","restricted","Aquatic invertebrates","In Review","2020-09-09","IR",
"Ninox connivens","urn:lsid:biodiversity.org.au:afd.taxon:a64b3461-23eb-47fe-9cf1-5d639ea47670","Ninox (Hieracoglaux) connivens","Strigidae",,"Barking Owl",,,"10246",,"Endangered",,"Other Non-passerine birds","breeding records only","Terrestrial fauna","Listed","2020-09-09","L",
"Morelia spilota metcalfei","urn:lsid:biodiversity.org.au:afd.taxon:27e4a168-c8e2-4e4e-94bd-08f8b75d7133","Morelia spilota metcalfei","Pythonidae",,"Carpet Python",,,"62969",,"Endangered",,"Reptiles","breeding records only","Terrestrial fauna","Listed","2020-09-09","L",
