"Supplied Name","guid","scientificName","family","kingdom","vernacular name","status code","status"
"Eremophila margarethae subsp. straight sepals (G. Cockerton & B. McLean LCH 31310)","ALA_Eremophila_margarethae_subsp_straight_sepals_G_Cockerton_B_McLean_LCH_31310","Eremophila margarethae subsp. straight sepals (G. Cockerton & B. McLean LCH 31310)",,,,"P1","Priority 1: Poorly-known species"
"Grevillea sulcata","https://id.biodiversity.org.au/node/apni/2903871","Grevillea sulcata","Proteaceae",,,"P1","Priority 1: Poorly-known species"
"Daviesia pseudaphylla","https://id.biodiversity.org.au/node/apni/2917692","Daviesia pseudaphylla","Fabaceae",,,"CR","Critically endangered"
"Bothriembryon whitleyi","urn:lsid:biodiversity.org.au:afd.taxon:50433efd-7db5-4060-9392-e6419bbc75aa","Bothriembryon (Bothriembryon) whitleyi","Bothriembryontidae",,"a bothriembryontid land snail","EX","Presumed extinct"
"Psacadonotus seriatus","urn:lsid:biodiversity.org.au:afd.taxon:dabcb01d-d546-4da8-a2c2-947a5fc55b7f","Psacadonotus seriatus","Tettigoniidae",,"a cricket","P1","Priority 1: Poorly-known species"
"Stylidium sp. Three Springs (J.A. Wege & C. Wilkins JAW 600)","ALA_Stylidium_sp_Three_Springs_J_A_Wege_C_Wilkins_JAW_600","Stylidium sp. Three Springs (J.A. Wege & C. Wilkins JAW 600)",,,,"P2","Priority 2: Poorly-known species"
"Zyzomys pedunculatus","urn:lsid:biodiversity.org.au:afd.taxon:33ab483d-5bec-45a4-857a-f0a1bbd36bfe","Zyzomys pedunculatus","Muridae",,"central rock-rat, antina","CR","Critically endangered"
"Spyridium spadiceum","https://id.biodiversity.org.au/node/apni/2919324","Spyridium spadiceum","Rhamnaceae",,,"P4","Priority 4: Rare, Near Threatened and other species in need of monitoring"
"Synaphea bifurcata","https://id.biodiversity.org.au/node/apni/2916554","Synaphea bifurcata","Proteaceae",,,"P3","Priority 3: Poorly-known species"
"Grevillea stenomera","https://id.biodiversity.org.au/node/apni/2889989","Grevillea stenomera","Proteaceae",,,"P2","Priority 2: Poorly-known species"
"Verticordia staminosa subsp. staminosa","https://id.biodiversity.org.au/node/apni/2916999","Verticordia staminosa subsp. staminosa","Myrtaceae",,,"CR","Critically endangered"
"Whiteochloa sp. Hann River (Aplin et al. 917)","https://id.biodiversity.org.au/node/apni/2888393","Whiteochloa sp. Hann River (Aplin et al. 917)","Poaceae",,,"P1","Priority 1: Poorly-known species"
"Cyperus haspan subsp. haspan","https://id.biodiversity.org.au/node/apni/2893313","Cyperus haspan subsp. haspan","Cyperaceae",,,"P1","Priority 1: Poorly-known species"
"Abutilon sp. Hamelin (A.M. Ashby 2196)","https://id.biodiversity.org.au/node/apni/2898729","Abutilon sp. Hamelin (A.M.Ashby 2196)","Malvaceae",,,"P2","Priority 2: Poorly-known species"
"Diocirea acutifolia","https://id.biodiversity.org.au/node/apni/2894894","Diocirea acutifolia","Scrophulariaceae",,,"P3","Priority 3: Poorly-known species"
"Stylidium edentatum","https://id.biodiversity.org.au/node/apni/2913712","Stylidium edentatum","Stylidiaceae",,,"P2","Priority 2: Poorly-known species"
"Chamelaucium sp. Cataby (G.J. Keighery 11009)",,,,,,"VU","Vulnerable"
"Tephrosia valleculata","https://id.biodiversity.org.au/node/apni/2902236","Tephrosia valleculata","Fabaceae",,,"P3","Priority 3: Poorly-known species"
"Astartea onycis","https://id.biodiversity.org.au/node/apni/7537101","Astartea onycis","Myrtaceae",,,"P4","Priority 4: Rare, Near Threatened and other species in need of monitoring"
"Baeckea sp. Limestone (N. Gibson & M.N. Lyons 1425)","https://id.biodiversity.org.au/node/apni/2909211","Baeckea sp. Limestone (N.Gibson & M.N.Lyons 1425)","Myrtaceae",,,"P1","Priority 1: Poorly-known species"
"Stylidium sp. Moora (J.A. Wege 713)","https://id.biodiversity.org.au/node/apni/2901976","Stylidium sp. Moora (J.A.Wege 713)","Stylidiaceae",,,"P2","Priority 2: Poorly-known species"
"Boronia humifusa","https://id.biodiversity.org.au/node/apni/2905094","Boronia humifusa","Rutaceae",,,"P1","Priority 1: Poorly-known species"
"Scholtzia sp. Z-Bend (Bellairs-Kalflora 912a)","https://id.biodiversity.org.au/node/apni/2906241","Scholtzia sp. Z-Bend (Bellairs-Kalflora 912a)","Myrtaceae",,,"P2","Priority 2: Poorly-known species"
"Banksia ionthocarpa subsp. chrysophoenix","https://id.biodiversity.org.au/node/apni/2916621","Banksia ionthocarpa subsp. chrysophoenix","Proteaceae",,,"CR","Critically endangered"
"Malurus lamberti bernieri","ALA_Malurus_Leggeornis_lamberti_bernieri","Malurus (Leggeornis) lamberti bernieri",,,"Shark Bay variegated fairy-wren","VU","Vulnerable"
"Calothamnus cupularis","https://id.biodiversity.org.au/taxon/apni/51289021","Calothamnus cupularis","Myrtaceae",,,"P2","Priority 2: Poorly-known species"
"Jacksonia rubra","https://id.biodiversity.org.au/node/apni/2891417","Jacksonia rubra","Fabaceae",,,"P2","Priority 2: Poorly-known species"
"Beyeria lepidopetala","https://id.biodiversity.org.au/node/apni/2890851","Beyeria lepidopetala","Euphorbiaceae",,,"VU","Vulnerable"
"Pityrodia scabra subsp. dendrotricha","https://id.biodiversity.org.au/name/apni/242108","Pityrodia scabra subsp. dendrotricha","Lamiaceae",,,"P3","Priority 3: Poorly-known species"
"Acacia calcicola","https://id.biodiversity.org.au/node/apni/2889507","Acacia calcicola","Fabaceae",,,"P4","Priority 4: Rare, Near Threatened and other species in need of monitoring"
"Haloragis sp. Parrot Ridge (G.J. Keighery 11563)","https://id.biodiversity.org.au/node/apni/2903664","Haloragis sp. Parrot Ridge (G.J.Keighery 11563)","Haloragaceae",,,"P1","Priority 1: Poorly-known species"
"Eucalyptus ornata","https://id.biodiversity.org.au/node/apni/2906521","Eucalyptus ornata","Myrtaceae",,,"P3","Priority 3: Poorly-known species"
"Tetratheca butcheriana","https://id.biodiversity.org.au/taxon/apni/51294528","Tetratheca butcheriana","Elaeocarpaceae",,,"P1","Priority 1: Poorly-known species"
"Bossiaea celata","https://id.biodiversity.org.au/node/apni/2911722","Bossiaea celata","Fabaceae",,,"P3","Priority 3: Poorly-known species"
"Hibiscus krichauffianus","https://id.biodiversity.org.au/node/apni/2904910","Hibiscus krichauffianus","Malvaceae",,,"P3","Priority 3: Poorly-known species"
"Acacia repanda","https://id.biodiversity.org.au/node/apni/2914321","Acacia repanda","Fabaceae",,,"P3","Priority 3: Poorly-known species"
"Indigofera fractiflexa subsp. augustensis","https://id.biodiversity.org.au/node/apni/7235532","Indigofera fractiflexa subsp. augustensis","Fabaceae",,,"P2","Priority 2: Poorly-known species"
"Tephrosia andrewii","https://id.biodiversity.org.au/node/apni/2905145","Tephrosia andrewii","Fabaceae",,,"P1","Priority 1: Poorly-known species"
"Montia australasica","https://id.biodiversity.org.au/node/apni/2900601","Montia australasica","Portulacaceae",,,"P2","Priority 2: Poorly-known species"
"Baeckea sp. Upper Swan (Miss M. Eaton s.n. 1888)","ALA_Baeckea_sp_Upper_Swan_Miss_M_Eaton_s_n_1888","Baeckea sp. Upper Swan (Miss M. Eaton s.n. 1888)",,,,"P1","Priority 1: Poorly-known species"
"Cryptandra congesta","https://id.biodiversity.org.au/node/apni/2890225","Cryptandra congesta","Rhamnaceae",,,"VU","Vulnerable"
"Leucopogon sp. Lake Tay (W.R. Archer 2104138)","https://id.biodiversity.org.au/taxon/apni/51283979","Leucopogon sp. Lake Tay (W.R.Archer 2104138)","Ericaceae",,,"P1","Priority 1: Poorly-known species"
"Caladenia x hopperi","https://id.biodiversity.org.au/taxon/apni/51290514","Caladenia x hopperi","Orchidaceae",,,"P1","Priority 1: Poorly-known species"
"Acacia eremophila var. Numerous-nerved variant (A.S.George 11924)","https://id.biodiversity.org.au/node/apni/2887125","Acacia eremophila var. Numerous-nerved variant (A.S.George 11924)","Fabaceae",,,"P3","Priority 3: Poorly-known species"
"Stylidium aceratum","https://id.biodiversity.org.au/node/apni/2910954","Stylidium aceratum","Stylidiaceae",,,"P3","Priority 3: Poorly-known species"
"Baeckea subcuneata","https://id.biodiversity.org.au/node/apni/2897177","Baeckea subcuneata","Myrtaceae",,,"P2","Priority 2: Poorly-known species"
"Banksia foliosissima","https://id.biodiversity.org.au/node/apni/2912766","Banksia foliosissima","Proteaceae",,,"P4","Priority 4: Rare, Near Threatened and other species in need of monitoring"
"Stylidium wilroyense","https://id.biodiversity.org.au/node/apni/2916509","Stylidium wilroyense","Stylidiaceae",,,"CR","Critically endangered"
"Chamelaucium sp. Yoongarillup (G.J. Keighery 3635)","https://id.biodiversity.org.au/node/apni/2913208","Chamelaucium sp. Yoongarillup (G.J.Keighery 3635)","Myrtaceae",,,"P4","Priority 4: Rare, Near Threatened and other species in need of monitoring"
"Gastrolobium vestitum","https://id.biodiversity.org.au/node/apni/2906608","Gastrolobium vestitum","Fabaceae",,,"EN","Endangered"
"Andersonia sp. Amabile (N. Gibson & M. Lyons 355)","ALA_Andersonia_sp_Amabile_N_Gibson_M_Lyons_355","Andersonia sp. Amabile (N. Gibson & M. Lyons 355)",,,,"P3","Priority 3: Poorly-known species"
"Pseudomys shortridgei","urn:lsid:biodiversity.org.au:afd.taxon:d89bc96a-f1d4-4e86-8e6a-85a1648771ec","Pseudomys shortridgei","Muridae",,"heath mouse, dayang","VU","Vulnerable"
"Micromyrtus rogeri","https://id.biodiversity.org.au/node/apni/2906121","Micromyrtus rogeri","Myrtaceae",,,"P1","Priority 1: Poorly-known species"
"Stylidium rhipidium","https://id.biodiversity.org.au/node/apni/2890018","Stylidium rhipidium","Stylidiaceae",,,"P3","Priority 3: Poorly-known species"
"Lasiopetalum cardiophyllum","https://id.biodiversity.org.au/node/apni/2919393","Lasiopetalum cardiophyllum","Malvaceae",,,"P4","Priority 4: Rare, Near Threatened and other species in need of monitoring"
"Anticoryne diosmoides","https://id.biodiversity.org.au/node/apni/2920412","Anticoryne diosmoides","Myrtaceae",,,"P4","Priority 4: Rare, Near Threatened and other species in need of monitoring"
"Gunniopsis sp. Nuytsland (G.J. Keighery & J.J. Alford 522)","https://id.biodiversity.org.au/node/apni/2890289","Gunniopsis sp. Nuytsland (G.J.Keighery & J.J.Alford 522)","Aizoaceae",,,"P2","Priority 2: Poorly-known species"
"Verticordia aereiflora","https://id.biodiversity.org.au/node/apni/2886486","Verticordia aereiflora","Myrtaceae",,,"P2","Priority 2: Poorly-known species"
"Eremophila glabra subsp. Morawa (C.A. Gardner 7521)","https://id.biodiversity.org.au/node/apni/2898422","Eremophila glabra subsp. Morawa (C.A.Gardner 7521)","Scrophulariaceae",,,"P1","Priority 1: Poorly-known species"
"Hemigenia saligna","https://id.biodiversity.org.au/node/apni/2903403","Hemigenia saligna","Lamiaceae",,,"P3","Priority 3: Poorly-known species"
"Rhodanthe sphaerocephala","https://id.biodiversity.org.au/node/apni/2887937","Rhodanthe sphaerocephala","Asteraceae",,,"P1","Priority 1: Poorly-known species"
"Microcorys eremophiloides","https://id.biodiversity.org.au/node/apni/2909934","Microcorys eremophiloides","Lamiaceae",,,"VU","Vulnerable"
"Stylidium perizostera","https://id.biodiversity.org.au/node/apni/2914417","Stylidium perizostera","Stylidiaceae",,,"P3","Priority 3: Poorly-known species"
"Acacia leptalea","https://id.biodiversity.org.au/node/apni/2890171","Acacia leptalea","Fabaceae",,,"VU","Vulnerable"
"Eragrostis rigidiuscula","https://id.biodiversity.org.au/node/apni/2896834","Eragrostis rigidiuscula","Poaceae",,,"P1","Priority 1: Poorly-known species"
"Eucalyptus famelica","https://id.biodiversity.org.au/node/apni/2911116","Eucalyptus famelica","Myrtaceae",,,"P3","Priority 3: Poorly-known species"
"Melaleuca sclerophylla","https://id.biodiversity.org.au/node/apni/2917311","Melaleuca sclerophylla","Myrtaceae",,,"P3","Priority 3: Poorly-known species"
"Trachymene oleracea subsp. sedimenta","https://id.biodiversity.org.au/node/apni/2896920","Trachymene oleracea subsp. sedimenta","Araliaceae",,,"P1","Priority 1: Poorly-known species"
"Lachnagrostis drummondiana","https://id.biodiversity.org.au/node/apni/2893955","Lachnagrostis drummondiana","Poaceae",,,"P1","Priority 1: Poorly-known species"
"Astroloma sp. Grass Patch (A.J.G. Wilson 110)","https://id.biodiversity.org.au/node/apni/2918978","Astroloma sp. Grass Patch (A.J.G.Wilson 110)","Ericaceae",,,"P2","Priority 2: Poorly-known species"
"Eremophila aureivisca","https://id.biodiversity.org.au/node/apni/2902889","Eremophila aureivisca","Scrophulariaceae",,,"P1","Priority 1: Poorly-known species"
"Thelymitra stellata","https://id.biodiversity.org.au/node/apni/2918992","Thelymitra stellata","Orchidaceae",,,"EN","Endangered"
"Atrichornis clamosus","urn:lsid:biodiversity.org.au:afd.taxon:72ae708a-95fd-4d1c-9485-ef2f4bd97e2e","Atrichornis (Rahcinta) clamosus","Atrichornithidae",,"noisy scrub-bird, tjimiluk","EN","Endangered"
"Grevillea sp. Harrismith (G.J. Keighery & N. Gibson 7094)","ALA_Grevillea_sp_Harrismith_G_J_Keighery_N_Gibson_7094","Grevillea sp. Harrismith (G.J. Keighery & N. Gibson 7094)",,,,"P1","Priority 1: Poorly-known species"
"Bettongia lesueur graii","urn:lsid:biodiversity.org.au:afd.taxon:7a019451-60d4-4925-82c9-2c3aaf3aeaf4","Bettongia lesueur graii","Potoroidae",,"boodie (inland), burrowing bettong (inland)","EX","Presumed extinct"
"Teucrium sp. Sturt Creek (A.A. Mitchell 5536)","https://id.biodiversity.org.au/node/apni/2918028","Teucrium sp. Sturt Creek (A.A.Mitchell 5536)","Lamiaceae",,,"P1","Priority 1: Poorly-known species"
"Ptilotus procumbens","https://id.biodiversity.org.au/node/apni/2890324","Ptilotus procumbens","Amaranthaceae",,,"P1","Priority 1: Poorly-known species"
"Banksia chamaephyton","https://id.biodiversity.org.au/node/apni/2891363","Banksia chamaephyton","Proteaceae",,,"P4","Priority 4: Rare, Near Threatened and other species in need of monitoring"
"Grevillea thyrsoides subsp. pustulata","https://id.biodiversity.org.au/node/apni/2915502","Grevillea thyrsoides subsp. pustulata","Proteaceae",,,"P3","Priority 3: Poorly-known species"
"Andersonia axilliflora","https://id.biodiversity.org.au/node/apni/2886487","Andersonia axilliflora","Ericaceae",,,"CR","Critically endangered"
"Tephrosia sp. Saw Ranges (D. Kabay s.n. PERTH 06720544)","ALA_Tephrosia_sp_Saw_Ranges_D_Kabay_s_n_PERTH_06720544","Tephrosia sp. Saw Ranges (D. Kabay s.n. PERTH 06720544)",,,,"P1","Priority 1: Poorly-known species"
"Haemodorum griseofuscum","https://id.biodiversity.org.au/taxon/apni/51287313","Haemodorum griseofuscum","Haemodoraceae",,,"P1","Priority 1: Poorly-known species"
"Conospermum undulatum","https://id.biodiversity.org.au/node/apni/2915372","Conospermum undulatum","Proteaceae",,,"VU","Vulnerable"
"Psophodes nigrogularis oberon","urn:lsid:biodiversity.org.au:afd.taxon:6cfc5577-79d3-467e-976e-267a385d47e3","Psophodes (Phodopses) nigrogularis oberon","Psophodidae",,"western whipbird (western mallee)","P4","Priority 4: Rare, Near Threatened and other species in need of monitoring"
"Hydrolea zeylanica","https://id.biodiversity.org.au/node/apni/2918120","Hydrolea zeylanica","Hydroleaceae",,,"P1","Priority 1: Poorly-known species"
"Austrostipa bronwenae","https://id.biodiversity.org.au/node/apni/2906728","Austrostipa bronwenae","Poaceae",,,"EN","Endangered"
"Eriochloa fatmensis","https://id.biodiversity.org.au/node/apni/2909761","Eriochloa fatmensis","Poaceae",,,"P3","Priority 3: Poorly-known species"
"Lepyrodia extensa","https://id.biodiversity.org.au/node/apni/2908083","Lepyrodia extensa","Restionaceae",,,"P2","Priority 2: Poorly-known species"
"Comesperma rhadinocarpum","https://id.biodiversity.org.au/node/apni/2903941","Comesperma rhadinocarpum","Polygalaceae",,,"P2","Priority 2: Poorly-known species"
"Solanum vansittartense","https://id.biodiversity.org.au/node/apni/2892113","Solanum vansittartense","Solanaceae",,,"P2","Priority 2: Poorly-known species"
"Seringia exastia","https://id.biodiversity.org.au/taxon/apni/51288943","Seringia exastia","Malvaceae",,,"CR","Critically endangered"
"Tribonanthes minor","https://id.biodiversity.org.au/node/apni/2893229","Tribonanthes minor","Haemodoraceae",,,"P3","Priority 3: Poorly-known species"
"Stenanthemum cristatum","https://id.biodiversity.org.au/node/apni/2892331","Stenanthemum cristatum","Rhamnaceae",,,"P2","Priority 2: Poorly-known species"
"Lepidium sagittulatum","https://id.biodiversity.org.au/node/apni/2905040","Lepidium sagittulatum","Brassicaceae",,,"P1","Priority 1: Poorly-known species"
"Dugong dugon","urn:lsid:biodiversity.org.au:afd.taxon:dfa14228-4f24-48be-b5e6-f91db5ddbbe1","Dugong dugon","Dugongidae",,"dugong","OS","Other specially protected"
